,0,1,2,3,4
0,584.02014,1091.2563,-669.13617,668.5187,262.56406
1,409.09476,876.62195,-508.66306,606.4826,330.38147
2,378.326,858.752,-488.45596,634.20844,379.5912
3,459.11316,950.7621,-564.7604,649.039,333.49677
4,434.99597,930.65594,-539.73456,651.627,361.1008
5,483.94846,999.8558,-588.26263,672.9496,346.60333
6,438.01788,929.956,-540.1574,647.79504,353.78525
7,391.4519,867.8132,-495.17593,622.2271,362.88913
8,487.64688,981.21643,-584.1972,662.216,329.9633
9,485.46863,1015.5746,-594.6812,692.9607,367.32022
10,451.5271,941.2443,-552.23474,640.2707,333.82687
11,547.9295,1051.7772,-642.1324,679.95624,299.5858
12,445.66473,971.8854,-560.08093,692.85376,394.5066
13,361.17303,808.1064,-458.7452,590.9972,352.14706
14,477.60168,987.562,-580.513,667.5534,344.22028
15,414.4953,880.41266,-508.6208,624.59174,348.78894
16,504.36328,1032.522,-604.58264,692.3039,354.27554
17,414.79025,904.31415,-523.29443,640.74426,361.94595
18,413.4375,878.815,-510.65628,618.5995,342.90576
19,534.0798,1071.7715,-642.7313,722.349,358.61844
20,457.03378,983.34753,-571.26044,694.6635,386.44308
21,471.5745,980.4926,-574.7785,661.8992,345.10516
22,488.84875,976.0765,-583.1227,677.69116,345.03207
23,469.2188,1003.09534,-583.8043,697.40063,379.11798
24,478.68066,949.132,-569.43,628.4703,304.80988
25,469.01584,960.00934,-569.90533,637.20435,315.87354
26,498.37366,1012.8155,-601.674,669.13916,332.83572
27,455.48026,966.5632,-567.77966,660.8806,351.08832
28,456.0766,991.4147,-573.9534,699.4956,393.9937
29,446.2916,955.0626,-550.3329,673.8685,379.55444
30,434.58435,922.3421,-536.00665,636.23425,345.67847
31,507.77307,1033.5144,-612.53687,692.96875,349.36554
32,526.9448,1083.1758,-640.88983,740.0287,382.74487
33,418.46625,894.3348,-516.24695,622.3708,341.8034
34,475.88916,952.8716,-572.05664,644.34717,314.37354
35,471.1674,983.3692,-578.3647,673.17163,349.528
36,497.01413,1037.4019,-607.66833,703.2962,368.55673
37,427.2789,939.49854,-540.3689,668.8711,384.11774
38,475.02396,982.394,-577.9076,673.8042,352.18207
39,383.9063,843.8938,-480.5069,608.8668,356.96515
40,450.86774,962.5245,-558.7161,669.4041,367.31323
41,488.87067,1026.5996,-601.58856,699.2782,371.15866
42,494.42368,1002.9272,-594.4466,669.43317,331.7373
43,361.09576,825.9934,-467.0538,610.3183,369.98587
44,429.82816,892.32306,-520.5597,609.36285,320.906
45,468.6176,961.1191,-565.5271,644.4126,329.25586
46,462.57556,990.5768,-577.6916,688.7245,378.11597
47,489.0619,1002.6314,-588.1766,667.9354,341.43463
48,456.70676,978.0024,-567.8701,679.6057,374.2379
49,498.2647,1029.1775,-607.75146,698.55554,361.51645
50,459.79092,964.0745,-564.9126,656.8654,343.6487
51,416.50656,907.62463,-527.659,640.4934,358.00458
52,416.03464,915.29553,-527.6479,654.04504,374.10638
53,423.53024,863.46967,-510.71844,591.855,307.05002
54,466.13312,954.92444,-560.60657,634.9047,322.39944
55,487.7312,1010.80304,-591.2377,687.1379,361.64636
56,446.21777,930.7148,-542.7238,632.9351,332.03912
57,417.5183,891.52637,-514.1597,622.2825,342.76837
58,422.3784,898.04767,-522.8731,633.056,349.71097
59,538.8093,1068.0322,-639.3686,693.3416,329.26367
60,544.15295,1096.5771,-652.80334,714.9487,341.34705
61,423.62274,919.9072,-529.2216,655.2461,373.94165
62,525.1435,1038.1047,-624.834,677.29724,317.13046
63,472.43503,985.0595,-579.1607,665.1778,343.2208
64,479.75742,951.5468,-566.5498,635.43805,308.7997
65,538.1454,1066.9609,-642.23846,696.80774,327.4704
66,411.83493,911.2494,-524.1606,653.33466,376.66263
67,526.2341,1052.182,-626.7971,686.9993,329.7779
68,399.34744,852.97235,-494.90292,600.94635,332.9699
69,482.84833,1017.5071,-592.5989,697.35736,376.18515
70,473.82007,974.41583,-574.32745,657.25604,335.80972
71,457.41028,960.2362,-565.65106,668.37616,356.4062
72,414.24036,886.6202,-517.8536,616.6063,336.5206
73,407.6437,885.6906,-510.61023,627.32837,352.54147
74,499.24402,1010.10754,-598.8307,664.7028,329.90698
75,403.64334,853.75354,-499.85748,590.00946,318.79102
76,416.92886,904.7137,-522.8046,638.06,359.89566
77,441.4602,907.74365,-534.5856,606.6287,305.56116
78,441.94025,941.5339,-549.4311,650.69104,352.02304
79,445.51428,940.0702,-545.2625,649.00183,351.10468
80,416.9054,907.5719,-521.9683,646.485,369.69113
81,440.23212,922.57007,-540.2085,635.07196,338.52173
82,472.0155,1011.8117,-586.7619,713.07983,397.94574
83,485.06174,1007.44604,-593.6187,685.438,354.1316
84,463.2999,966.11536,-565.1417,658.5928,347.32077
85,414.47153,895.7376,-515.3674,634.8351,361.51953
86,445.3475,955.59906,-554.89374,670.14404,372.20065
87,491.2231,1049.5276,-608.073,739.7628,413.14883
88,455.88947,948.28894,-562.6958,644.206,333.08115
89,405.8175,888.9245,-516.3171,628.3003,353.0135
90,465.61572,971.8896,-568.2198,657.62476,342.5483
91,448.9527,939.419,-551.6512,633.54944,325.77127
92,402.97052,871.899,-506.6928,611.0598,339.44678
93,426.3998,886.77075,-523.464,612.0182,321.9148
94,505.73843,1011.80676,-605.1996,656.7653,305.6765
95,427.04144,918.3275,-531.75085,643.7942,360.09583
96,466.665,970.50903,-573.4266,667.6609,351.16623
97,401.75537,851.0457,-494.6459,601.93866,333.97104
98,610.69006,1141.5952,-703.2828,704.45905,277.4364
99,516.4305,1062.0099,-629.7038,707.32245,356.64703
100,435.34515,926.4591,-533.4209,647.08105,359.3872
101,522.9789,1044.6893,-624.506,689.9863,331.04956
102,453.46017,961.6643,-559.7324,663.32117,361.67685
103,466.01093,993.36584,-575.9697,691.5064,380.4466
104,454.87814,968.6133,-563.6092,672.84906,369.78735
105,427.36777,926.4964,-535.6072,653.86414,369.02332
106,427.51733,907.22003,-529.1944,629.64966,340.2552
107,478.32294,952.0171,-568.1387,633.23303,307.81216
108,453.87943,952.9032,-556.34393,655.69324,354.25037
109,441.57495,929.06366,-546.48596,631.18787,333.1138
110,447.54355,936.3312,-544.19354,660.46027,362.9295
111,436.98615,905.20056,-534.89233,616.1535,320.54425
112,381.0195,851.09406,-487.0428,612.28326,358.36478
113,552.14874,1101.7637,-653.4153,730.1145,354.38593
114,376.55194,830.5897,-475.69962,595.4901,345.6596
115,405.02045,894.1744,-510.07278,638.77936,366.3479
116,438.562,920.47504,-538.69135,625.50446,327.707
117,458.9088,981.89044,-571.4871,679.9674,370.015
118,471.97025,986.94226,-573.796,676.979,361.16876
119,464.92642,959.3131,-560.53754,650.3626,338.91394
120,486.29138,990.1381,-584.56537,666.96277,340.54883
