,0,1,2,3,4
0,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
1,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
2,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
3,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
4,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
5,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
6,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
7,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
8,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
9,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
10,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
11,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
12,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
13,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
14,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
15,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
16,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
17,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
18,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
19,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
20,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
21,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
22,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
23,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
24,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
25,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
26,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
27,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
28,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
29,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
30,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
31,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
32,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
33,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
34,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
35,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
36,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
37,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
38,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
39,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
40,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
41,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
42,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
43,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
44,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
45,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
46,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
47,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
48,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
49,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
50,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
51,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
52,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
53,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
54,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
55,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
56,-0.0010339376,-0.00046042455,0.0001778478,-0.003006952,0.0021668249
