,0,1,2,3,4
0,5481.5957,-5736.0527,5599.8535,5862.905,-5341.764
1,5780.2314,-6063.0444,5913.3926,6196.9053,-5640.7207
2,5351.127,-5597.449,5465.688,5720.825,-5213.3916
3,5196.302,-5441.0054,5311.25,5559.535,-5064.325
4,5681.83,-5963.774,5815.784,6094.7974,-5545.6055
5,5530.3696,-5793.792,5653.8516,5920.952,-5392.881
6,5584.9795,-5861.116,5715.453,5988.718,-5447.4873
7,5593.094,-5857.9883,5715.329,5987.119,-5455.266
8,5588.1167,-5851.667,5711.349,5979.882,-5449.595
9,5888.5376,-6163.534,6016.41,6298.4585,-5738.884
10,5491.6772,-5756.542,5616.2944,5881.749,-5356.2964
11,5819.081,-6090.907,5946.964,6224.0273,-5669.726
12,5334.13,-5591.573,5455.2686,5714.33,-5202.502
13,5520.4976,-5781.982,5642.4385,5908.6914,-5382.089
14,5561.315,-5811.8335,5678.6025,5939.7935,-5416.3945
15,4888.9697,-5117.702,4995.434,5231.3115,-4764.9834
16,5542.6953,-5801.083,5662.5635,5929.0063,-5405.5547
17,5694.7734,-5969.707,5824.111,6101.8677,-5555.0117
18,5466.133,-5735.873,5594.092,5862.735,-5334.5806
19,5513.6274,-5789.2456,5643.173,5916.8936,-5381.388
20,5585.4487,-5863.2705,5717.659,5991.6587,-5449.3604
21,5653.287,-5932.8564,5784.411,6063.598,-5519.5786
22,5430.189,-5684.3193,5546.902,5809.9473,-5294.9277
23,5111.5137,-5380.9717,5240.678,5497.7617,-4993.922
24,6084.049,-6379.7163,6221.802,6519.252,-5937.716
25,5716.263,-6005.6367,5854.373,6137.5493,-5582.6133
26,5724.376,-5998.8564,5851.2837,6130.571,-5582.0527
27,5422.8984,-5686.699,5549.4277,5810.267,-5287.426
28,5314.4053,-5569.96,5433.1064,5692.323,-5184.6396
29,5777.3403,-6071.034,5917.724,6203.6553,-5640.436
30,5782.2334,-6071.665,5918.177,6204.4766,-5643.2607
31,6047.9824,-6340.7686,6185.162,6480.5537,-5901.7065
32,5481.689,-5748.8936,5607.4297,5874.9087,-5347.0146
33,5359.9287,-5628.9795,5487.395,5751.26,-5231.362
34,5595.415,-5868.997,5722.831,5997.534,-5460.3486
35,5920.8467,-6218.1475,6061.8896,6353.6445,-5777.77
36,5515.984,-5771.4424,5634.2383,5897.9043,-5378.0107
37,5548.569,-5823.4307,5678.789,5950.072,-5412.5273
38,5709.825,-5971.091,5830.986,6101.9688,-5563.4043
39,5526.2886,-5779.683,5642.414,5907.756,-5387.0625
40,5710.884,-5987.309,5840.517,6118.1934,-5569.494
41,5536.4956,-5801.504,5660.831,5929.2676,-5398.3896
42,5596.615,-5865.602,5723.6235,5993.985,-5456.82
43,5160.6665,-5419.3853,5284.002,5538.197,-5035.1094
44,5564.151,-5834.506,5691.8486,5962.8643,-5425.8823
45,5537.616,-5807.491,5664.1025,5934.9834,-5400.491
46,5176.4277,-5416.4688,5289.3164,5535.7114,-5045.2944
47,5472.01,-5726.716,5589.8027,5853.2417,-5335.739
48,5277.58,-5523.7266,5392.6074,5645.4033,-5143.625
49,5832.34,-6111.745,5963.161,6245.873,-5689.2803
50,5828.32,-6102.7466,5958.6724,6236.069,-5679.6035
